movie,sentence,score
이터널스,기존 마블영화에 비해 액션이나 CG가 약한감이 없지 않으나 새로운 서사의 시작인만큼 이전의 영상을 기대하지는 않았다. 나름 만족하고 다음을 기대하게 되는 영화 ,7
우리 선희,"""아~이번엔 잠수타면 안되는데~"", ""자기 생각대로 사는거지~"", ""그래~남이 해줄수 있는게 별로 없어~"" 우리 모두 선희를 바라보던 교수이자 문수이자 재학이였다. ",10
프렌치 디스패치,"빠른 편이긴 하지만 오히려 그래서 더 몰입할 수 있었는데.. 밀도높은 리듬감이 참 좋았고 화면 구성이 몹시 아름다웠다. 각 이야기들 또한 몹시 독창적이며 즐거웠고, 잡지라는 매체를 이렇게 다채롭게 영상으로 구현하다니... 이건 봐야 안다 ㅜㅜ 근 몇년간 본 영화 중 가장 좋았음! ",10
모가디슈,북한 찬양영화 개극혐이다 ,2
태극기 휘날리며,정말 볼때마다 가슴이 찡한 영화다... ,10
범죄도시,지금도 계속 재생중인데 그냥 계속 볼 수록 소름돋게 구역질나는 영화 잔인해서가아니고 특정배우 자체를 내가 너무 싫어해서 그러나봄 마동석은 아님 ,4
듄,"영상미와 OST가 잘 짜여져있고, CG와 실사가 교묘하게 잘 버무러져 있어 몰입하면서 볼 수는 있었습니다.다만, 시리즈를 안 본 사람에게는 불친절한 편이고 따라서 이해하는 데 어려움이 있을 수 있습니다.정말 좋은 영상미와 OST에 반해, 이야기는 맥이 뚝 끊기는 느낌이 들었어요~ ",7
듄,"음 이 영화 보고 아침부터 기분 안좋음..한20년전에 개봉했어야할 영화인듯..진짜 보지 마시길어설픈 연출, 내용 이상, 뜸금 전개,  최악 ",1
듄,킬링 타임용으로 좋다는거 말고는 아직은 모르겠다 볼만하고 잼있긴한데 그저 그럼 ,7
샹치와 텐 링즈의 전설,마블은 어벤져스 엔드게임 이후로 망했다영화 보는 내내 중국 찬양 영화로 밖에 보이질 않음이거 볼바엔 그냥 중국 무협 영화를 강추 ,1
싱크홀,재밌게 잘 봤어요~! ,10
듄,잘모르겠는데 재미있었다ㅎ ,9
데스 노트,"케이블에서 하길래 봤는데...   주인공이 참 일본스럽다는 느낌..  주인공은  싸이코패스 살인마로 변해가는게 아니라   처음부터  싸이코패스였던 놈이더만...   아무런 죄가 발견되지 않은 사람들의 이름들을..  진심으로 사랑해준 여자친구의 이름까지,   망설임없이  데쓰노트에 적는 연출은 엽기를  평범하게 받아들이는 일본스러움이랄까...  공감할 수 없었다 ",5
귀멸의 칼날: 나타구모산 편 ,히노카미 카구라  이걸 영화관에서 스크린으로 볼수있었음에 감사드립니다. ,10
듄,용아맥에서 봤었는데 진짜 영상미 개쩔음...ㄷㄷㄷㄷ ,10
고양이에게 밥을 주지 마세요,무지성 캣맘들의 자기위로영화 ,1
듄,환상적 정말 잘만들었다 판타지를 유치하지 않게 너무 잘 풀어냈다 ,10
장르만 로맨스,하나도 안웃김...웃기다는 평 보고 기대하고 갔는데 진짜 별로 안웃김..재미없음..노잼.. ,4
퍼스트 카우,한시간만 참으세요. 그 뒤엔 서스펜스 ,7
디어 에반 핸슨,정말 오열했습니다....노래 하나하나가 저의 감정을 건드렸읍니다노래 가사가 너무 희망적이고 따뜻했읍니다.... ,10
기적,쥐어짜는 신파가 아닌 가슴 먹먹한 영화 ,10
고양이에게 밥을 주지 마세요,너무 소중한 영화입니다 길고양이들이 행복해질 수 있기를 ,10
보이스,그래도 꽉차게 스릴감 있게 재미지게 잘 보았음. ,8
디어 에반 핸슨,최고의 영화??? 뮤지컬로 먼저 접하고서 너무 기대하던 영화인데 만족스러웠습니다. ,10
하우스 바운드,유머와 공포의 적절한 혼합 ,6
호빗 : 뜻밖의 여정,완전 재미있게 봤어요 ㅎㅎ ,10
듄,간만에 몰입감 있고 잘만든 영화 봤음 ,10
듄,영상미는 좋은데 내용은 중구난방.. 그냥 킬링타임용 영화 ,6
터미널,다 좋은데 미국인들은 영어 못하면 지능도 낮은 줄 아나보네 ,10
해바라기,뭐 말할게 있겠습니까 최고의 영화 ,10
터미널, EBS 시청하고 계신 분 ,10
소울,살아낸다는 것 만으로도… ,8
베놈 2: 렛 데어 비 카니지,1편은 재밌게 봤는데 아 이건 너무 재미없네 내용이 이따구냐 ,1
싱크홀,차승원 캐릭터 왜 이모양임. ㅈㄴ비호감 ,1
더 수어사이드 스쿼드,액션도 허접하고 등장하는 캐릭터들도 하나같이 유치하다 시간아까움 ,1
너에게 가는 길,이 이야기가 남의 이야기가 아니라 이미 곁에 있는 누군가의 이야기라는 걸 기억해 줬으면… ,10
강릉,그냥 담배만 주구장창... 보다가 나올뻔... ,1
랑종,저는 넷플릭스를통해보았습니다. 이영화가 재밌었습니다 물론 중간중간에 이해는안되었습니다만 이영화에는 민간신앙 샤머니즘을 숭배하는것과 동양틱하다는것입니다.귀신을 퇴마한다기보다는 달래주는느낌 을잘살렸고 그리고 지켜야할 금기를 지키지못해  시련을극복하지못한인간들 ㅇㅇ..스토리가 재미가없었다는분들한테는 음...본인들이 원하는스토리가나오지않아서 재미없었다고한거같아요ㅇㅇ.그냥 그럭저럭재밌었어요ㅋㅋㅋㅋ ,8
1984 최동원,그 시절 TV 화면으로 보던 야구 장면을 스크린으로 보면서 감개무량했던 기억이 떠오른다.어릴 때 그저 잘난 척하던 선수라고 생각했는데 세월이 흘러 보니 위대한 선수의 모습으로 다가와서 울컥거린다. ,9
디어 에반 핸슨,"모든 삶에는 수없이 구사일생으로 목숨을 건진 흔적이 남아있단는 폴 오스터의 문장이 생각났습니다. 에반이 나무에서 떨어져 팔을 다쳤다고 했을 때, 코너가 반드시 실패해야 하는 일을 실패하지 못했을 때. 어렴풋이 언젠가 아파트 옥상에 올라갔던 일이 떠올랐습니다. 영화를 보면서 참 많이 울었습니다. ",10
레드 노티스,우리가 할리우드 영화에 질리는 이유를 다 모아놨다. 배우들 출연료만으로도 최소 좋은 한국 영화 3편은 나오지 않았을까?+_+;; ,5
귀신랑,짠하다. 요즘은 이런영화 못만드나. ,10
F20,"조현병에 걸린 사람들 보다도 그 주변 사람들의 눈초리, 의심, 두려움이 더욱 사람을 미치게 만든다는 것을 보여준 영화. 장영남님 연기에 너무 몰두되어 같이 미쳐버릴 것 같았던 영화입니다. 조현병은 치료할 수 있는 병입니다. 편견을 갖고 사람들을 대하면 안된다는 것을 다시 한 번 깨닫습니다. ",10
장르만 로맨스,코로나 땜시리 꺼져있던 웃음보를 터뜨렸네..마무리는 잔잔한 마음을 움직여줘었어요. ,10
배틀로얄,재밌다 다시봐도 재밌다 ,10
장르만 로맨스,세상엔 여러가지 감정과 관계가 있다는걸 말하고싶었나..?  진짜 러닝타임 내내 무표정으로 봄. 근본없는 스토리 ,1
싱크홀,"이건 진짜 심했다...허허,,, ",2
샹치와 텐 링즈의 전설,초반부 : 마블입힌 성룡영화     중반부 : 마블입힌 와호장룡     후반부 : 그냥 중국영화 ,4
위시 드래곤,디테일이 부족한 지렁이 같은 용이라니이건 아니다.... ,1
장르만 로맨스,"과하거나 억지 웃음 없이  웃겨서 괜찮았습니다, ",8
레드 노티스,재밌는데 왜 평점이 일케 낮음 ,10
듄,영화보다가 빡친 건 처음임 나가고 싶었음 끝나고 나와서도 계속 빡쳤음질질 끌다가 액션신 나오고 또 이해 안 가는 내용으로 질질 끌다가 질질질끌음 액션신 잠깐 나오는데 그건 볼만함 ,4
프렌치 디스패치,영화 분위기가 보는 사람에게 졸음을 부릅니다 조금이라도 졸릴 때 보지 마세요 영화 흐름이 빨라서 자막 따라가기 바빠요 한 번 보면 이해 절대 못 할 영화 같아요 두세 번은 봐야 이해 가능할 듯한… ,8
당신얼굴 앞에서,영화가 편안하네요. 이혜영배우님의 얼굴선이 아트네요 권해효배우님은 홍상수님 모습같기도.. ,8
이터널스,전체적으로 루즈하다. 노잼이래봐야 마블인데... 볼만은 하겠지? 라고 생각하고 봤다가 끝나고 한숨 푹 내쉬면서 귀가했다. 영화 보는 눈이 낮은 나는 기대이하작으로 소문난 해리포터 혼혈왕자도 블랙팬서도 캡틴마블 전부 재밌었다. 근데 이터널스는 아니다. 아쿠아맨이랑 동급이었다. (내 기준에선 아쿠아맨보다 살짝 더 이하) 마블이라서 챙겨봤는데... 다음부턴 평점이랑 리뷰 아작난 것들은 마블이라도 그냥 유튜브에 줄거리요약 영상으로 볼란다. 내 지인들한테는 굳이 돈이랑 시간 써서 보지 말고 그 돈으로 디즈니나 결제하라고 추천해줬다. ,6
레지던트 이블 4: 끝나지 않은 전쟁 3D,초반에 배경이 일본 이라고 적이 총질하는데 주인공은 암기랑 장검 가지고 싸우더라.  겁나 어이 털리네. 삼류는 삼류다. ,2
프렌치 디스패치,감독의 애정이 잔뜩 묻어나오는 영화 ,9
디어 에반 핸슨,진짜 갓...레전드 영화 ㅜㅜㅜ ,10
너에게 가는 길,"성소수자를 자식으로 둔 부모와 성소수자들의 이야기. 보다보면 성소수자로서 차별받고 억압받는 그들의 현실이 나타나있다. 하지만 그들 혼자서 세상과 싸우는 것이 아닌 그들을 지지해주고 응원해주는 부모들의 감정과 상황들이 잘 연출되어 있다. 성소수자들이 많이 동감할 영화지만, 오히려 일반 사람들이 보고 성소수자들에 대해 가졌던 고정관념을 바꿀 수 있는 기회일 것이라 생각한다. ",10
랑종,강아지는 건들지말지 맘아프다 ,1
장르만 로맨스,꽤 재밌었어요.  조금아쉽긴한데 기분전환상가볍고 재밌게 볼만해요 ,8
이터널스,볼 만은 했는데 정신은 없네요~ ,6
듄,"와...긴 영화시간에, 프롤로그인데 이렇게 재밌다구요?  ㅠㅠ 재밌어요 흑흑 ",10
싱크홀,꿀잼 ! 갠적으로 엑시트보다 더 재밌어요 ,9
이웃사촌,감동 재미 다 주는 영화!! ,10
너에게 가는 길,"너무나 생소한 세상속에 살아가는 존재라 생각하지만, 도처에 존재하는 존재. 내 아들 딸 일 수도 나일 수도 있는 그들에 대한 이야기. 그리고 당사자들의 부모와 그 위대함에 대한 이야기. 많이 관심 받는 영화가 되었으면 좋겠다. ",10
싱크홀,나름 재미있고 코믹하고 아기자기하고 전 좋았네요.. 우울하거나 반전있거현실감있는 영화만 잘만들었다고 생각하는 분들은 별로라고 할듯 ,10
싱크홀,삼류영화 재미없음 시간아까워서 중간에끔 ,1
이웃사촌,운동권 비하하는 애들아 운동권이 뭘했냐고 자주 떠들고 하는데 뭐했냐면  대통령이 맘에 안들어서 밤잠을 설치고 두통을 앓는 당신이 투표로 대통령을 바꿀수 있게 했단다 ,10
강릉,도대체 무슨내용 ㅡㅡ  배우들이 아까움 스토리 전개가 하나도 없음 과거사라든지 등등 비교하기 싫지만 신세계 범죄도시 불한당 이 정말 진짜 잘만든영화라고 느껴짐 ,2
후겟츠 웨슬리,즐겁고 따뜻한 연인영화.사랑스러운 웨슬리를 서로 책임지려고 하네. 훈남훈녀가 잘생긴대로 맘도 따뜻하구만 ,10
듄,ㅈㄴ 미래인데 칼싸움질 미사일은 가능하고 총은 안되냐 ? 전혀 과학적이지 못한 영화임 ,1
싱크홀,영화 대충 대충 만드네.넷플릭스에 있어서 봤다 ,4
걸캅스,판타지 ,1
이터널스,이런스토리로 영화 폭망시켜버리네감독이 문제다 진짜 ,1
인셉션,놀란 아저씨의 생리학+심리학+액션+스릴러+휴먼 홈드라마.꿈보다 해몽.해몽보다 인셉션.. ,10
트루먼 쇼,소름돋는 영화. 무슨내용인지 아예 모르고 봤더라면 좋았을 영화 ,9
디어 에반 핸슨,상실과 외로움 고립감을 자주 느끼는 사람 이라면 꼭 보시길 추천드립니다어쩌면 이 영화는 다수를 만족시키보다 그런분들을 위한 영화라고 말할 수 있을 것 같아요 그리고 그게 이상하거나 다른게 아니라는것도요 ,10
듄,너무 너무 너무 너무 너무 너무 너무 너무 너무 지루했어요. 다 좋은데 우리나라의 정서랑 맞지않은 진행속도라 보는데 지루해 죽는줄 알았어요.. ,1
이웃사촌,실제 보다 말도 안되게 미화... 전라도판 왜곡으로 일부정치세력의 코메디 일뿐. ,2
이웃사촌,나름 괜찮은데 왜 평점이 낮은지 ,10
마스터,또라이 늙은남자가 여자는 잘꼬시네 ,10
기적,"진짜 오랜만에 가족끼리 모여서 다같이 보고 싶은 영화가 나왔네요. 감동에 유머가 잘 섞인 영화! 박정민, 윤아, 이수경, 이상민, 김강훈 배우의 연기가 너무 좋습니다. ",9
듄,2편을 봐야 정확한 평가가능음악과 영상미로 2편을 보고싶게 만드는 것만으로 절반 이상의 성공 ,8
듄,화장실을 못 갈 정도의 몰입감 압도적 음악의 존재감 ,9
귀멸의 칼날: 남매의 연,기존 넷플릭스에 나온 내용과 완벽하게 같아서 좀 지루했다 ,3
걸캅스,인천여경에 대한 메갈 웜돼지들의 평가가 궁금힌딘 ,1
이터널스,저스티스 리그 보시면 됩니다. ,1
베놈 2: 렛 데어 비 카니지,베놈시리즈는 그만 나와라 오글거리는 대사하며 스토리도 별로 ,1
이터널스,너무 재미있습니다 이건 꼭 추천하고 싶습니다 ,10
장르만 로맨스,한국인들 진짜 ㅋㅋ 영화볼줄모르네 ,10
샹치와 텐 링즈의 전설,너무 뻔한 내용의 영화...  그레이트월보다 못했음.그래도 양조위는 멋있어 ,6
너에게 가는 길,우리 앞에 놓인 길이 꽃길이 아니라 가시밭길일지라도 함께 걸어 좋은 길 ,10
장르만 로맨스,오랜만에 극장 가서 빵터졌네요. 재밌어요. 같이 본 친구 팔 엄청 치면서 웃어댐 ,10
이터널스,주인공 드루이그로 바꿔라 ,4
강철비2: 정상회담,그럭저럭볼만함시간때우기용 ,7
랑종,샤머니즘에서 시작해서 사이코패스 지나퇴마에 실패한 좀비영화 ,5
걸캅스,걸캅스는 OO OO떨고있다 진짜 ㅋㅋㅋㅋ ,1
이터널스,지금까지 마블영화랑은 좀 다른 감이 있음. 근데 그런대로 너무 재밌고 이터널스2가 기대됨. 4Dx로 한번더 볼 예정. 이 영화보면 재밌다랑 재미없다가 확실히 갈리는데 이게 왜 박스오피스 순위 높은지 알거같음. 듄 먼저 보고 봤는데 듄보다 훨씬 재밌음. 화장실 가고 싶었는데 계속 참고 끝까지 봤음. 스포일러는 안 넣음. 진짜 너무 취향저격. 쿠키영상도 꼭 보기를 바람. 2편 엄청 기대됨 ,10
마부,"뜬금없는 결말이 말아먹을 뻔 하지만, 영화는 전체적으로 관객의 마음을 확실하게 움직인다.ㅜㅜ ",8
장르만 로맨스,류승룡 부부의 인간관계에서 나오는 이야기가 코믹하고 재미가 있었고 진지한 부분에서도 그 나름대로 좋았습니다. ,7
장르만 로맨스,최악 어떻게 저런 배우들을 쓰면서 이런 영화를 만들지? 연기는 다들 잘 하시지만 내용 최최최악 중간에 나오고싶었던 영화는 처음 ,1
디어 에반 핸슨,뮤지컬을 봐야 이해되겠음 ,6
랑종,ㅈ노잼 공포영화는 어딜가나 발암덩어리가 많다 ,1
헌터 킬러,최근티비로공짜로본영화중에제일재밌음 추천함 ,10
프렌치 디스패치,색감이 화려하고 세트나 소품의 구조가 오밀조밀하다. 나처럼 영화에 대해선 문외한이 본다면 미쟝센이 수려한 것 이외에 눈에 띄는 것은 크게 없을 것이다. ,4
트립,뭐 지지고 볶고 하는데 등장인물이 다 답답함 ,3
장르만 로맨스,먼내용인가요? 너무하네 진심 ,1
장르만 로맨스,"배우들이 도대체 어디서 출연계기가 되었는지궁금할때쯤, 감독을 보고 아..아..설마설마..생각만 드는 .. ",2
걸캅스,이딴 영화 보고 감동 먹었다 재밌다는 분들은 본인한테 사건 생기면 꼭 ‘여경’이 출동해서 멋지게 범인을 제압하길 바래요^^ ,1
장르만 로맨스," 코믹영화로 홍보를 했으면서, 갖잖은 깨달음을 얻게 하려는 영화다.  아마 영화를 보고 온 사람들이라면 불이 켜진 상영관을 나오며 한 번은 이런 생각을 할 거다. '내가 무슨 영화를 보고 온 거지?' .  서사가 난잡하다. 결코 부드럽고 이해할 만하게 흘러가지 않는다. 등장인물들의 여러 이야기가 잡탕처럼 섞여 혼란하게 흘러간다.  인조적인 웃음 강요. 마치 초등학생 때, ""똥! 설사!""를 외치면 주변 애들이 낄낄 웃는, 그런 1차원적인 개그 각본밖에 안 되는 수준으로 코믹 영화로 홍보를 했다. 개그 장면들이 하나같이 ""이건 웃긴 장면이야! 웃어! 어서! 빨리 웃으라고!"" 라면서 관객들에게 강요하는 것 같다. 그러면서도 깨달음까지 강요하려는 연출을 한다. 서사가 부드럽지 않으면 끝까지 완벽한 코믹으로 가면 되는데, 웃기지도 않는다.  자세히 스포일러는 할 수 없다. 이 영화는 ""관계""에 대한 이야기다. 인간 관계에 대한 관객들의 해석을 요구한다. 근데 그걸 코믹 상업 영화에서 시도하니 문제이다. 코믹과 깨달음을 주려는 연출, 그 어중간함에서 난 무엇에 맞춰 영화를 봐야하는지 끝까지 의문이었고 런닝타임 두 시간이 다섯 시간 같았다. 그리고 꼴에 ""관계""에 대한 생각과 여지를 준다는 점 때문인가? 치정에 대한 묘사가 자주 나온다. 가족, 친하지 않은 남녀 사이에 가서 보면 민망한 영화다.  차라리 예술 영화쪽으로, 더 깊게 생각해 볼 수 있는 각본으로 영화를 만들었다면 충분히 호평받으리라 생각했다. 관객들에게 ""인간 사이의 관계""라는 것을 생각해 보게 하려는 훌륭한 시나리오는 이 싸구려 상업 영화에 무참히 낭비됐다. 아깝다는 생각마저 했다. 마치 싸구려 대학로 소극장 로맨스 코미디 연극을 보고 온 기분이다.  취미가 영화감상인 재능없는 학생이 적당히 성적맞추고 영화과에 가서 내 놓은 졸업작품 같다. 대전 중구 메가박스에서 13,000원을 내고. 이걸 봤다.  차라리 탕후루를 다섯 개 사먹을 ",1
라스트 듀얼: 최후의 결투,"영화를 볼수있게 만드신 리들릿 스콧, 그리고 제작자 여러분께 감사드립니다. ",10
극비수사,"진짜 대한민국 역작입니다 최고입니다 연출, 스토리, 연기  모두 최고입니다 ",10
이터널스,친구 영화비까지 내줬는데도 불구하고 중간에 나갈까 고민 수십번함ㅋㅋㅋㅋ ,1
걸캅스,이딴게영화....? ,1
싱크홀,"음,,진짜 심심해서 봤어요. 한번 봐보세요 ",6
해피 피트,...새벽부터 밤까지 유혹해보라는 대사로 시작....하네요..귀여운 펭귄 애니메이션을 기대했는데.... ,1
걸캅스,최악의 영화 절대 보지마세요 ,1
올드보이,10101001839202482901 ,10
샹치와 텐 링즈의 전설,이게 왜 7점 대지??  내 기준에선 9점 아님 10점이다. 양조위 미친 순애보에 샹치-케이트 케미 개웃김ㅋㅋㅋㅋ +링 사용하는 거 개멋졌다 ,9
이터널스,히로시마 없었으면 일본놈들이 항복했을까? ,3
컨테이젼,현재의 코로나19의 상황을 비춰보면 바이러스에 대한 공포를 차갑게 잘 그린 영화. 그러나 좀 평면적이다. ,7
클레멘타인,최고의 영화로 정말 숨도 못쉬고 봤습니다. ,10
이터널스,"너무나도 방대한 서사를 영화 한 편에 모두 담으려다보니 개연성이 떨어져 몰입도가 정말 낮았습니다.각 인물들의 과거사까지 담아내는 전개에서 서사는 긴데 큰 사건의 마무리가 급하게 매듭지어지는 느낌을 받았고, 그냥 ‘어이가 없었다’ 라는 말이 어울릴 것 같네요.그나마 영상미, 마동석 배우, 기타 출연진 때문에 봤습니다.시간 떼우기 영화 보다는 말 그대로 ,’킬링 타임’ 영화였습니다. ",2
더 시크릿 하우스,완전노잼 공짜로봐서그나마다행 ,1
본 레거시,"본 시리즈가 아니라 그냥 번외편 같은 느낌이 있었음.. 다른 시리즈보다 긴장감이 조금 떨어지는 느낌,, '길을 잃는것도 괜찮은데' ",8
걸캅스,최근 본 판타지 영화중 최악 ,1
싱크홀,"고소당할까봐 욕은 못하겠고,, 걍 드럽게 유치함 ",2
이터널스,4DX로 봤는데 압도당했다죠....이정도면 블위 이상으로 봅니다. ,10
디어 에반 핸슨,넘버랑 연기는 완벽한데 스토리가... 공감이안됨 이건 드라마보단 스릴러네요 ,6
모가디슈,잘만든 영화.. 인상깊게 봤어요 ,10
시티 오브 갓,"이런게 영화지, 연출 몰입력에 완성도 높은 시퀀스. 나름의 메세지들 ",10
아야와 마녀,아니 그래서 결말이 뭐임?애들이 완전 실망ㅜㅜ그냥 감으로 때려 맞춰야하나... ,1
걸캅스,현실은 칼들고 있는 일반인 무서워서 냅다 도망ㅋㅋ인스타그램 전국 여경들 경찰복 셀카 업데이트되는거 약속이나 한듯이 귀신같이 뚝 멈춤ㅋㅋ 여경 = 경찰견보다 쓸모 없음 ,1
샹치와 텐 링즈의 전설,기대했던거보다  너무 재미있게 봤습니다~^^ 근데 주인공이 극중 20대중반인거 같은데~모습은 40대중반같아서 몰입도가 떨어졌습니다ㅜㅜ ,8
샹치와 텐 링즈의 전설,기대했던거보다  너무 재미있게 봤습니다~^^ 근데 주인공이 극중 20대중반인거 같은데~모습은 40대중반같아서 몰입도가 떨어졌습니다ㅜㅜ ,8
장르만 로맨스,오랜만에 유머러스하지만 의미있는 영화! ,8
이웃사촌,이게 뭐지? 코메디를 빙자한 쓰레기 ,2
디어 에반 핸슨,"캐릭터의 감정은 이해하나 스토리자체가 고구마백개 먹은 느낌,,,노래는 좋아요 ",4
샹치와 텐 링즈의 전설,솔직히 기억에 남는건 주인공들도 아니고 양조위도 아니다. 웡 에서 시작하고 쿠키도 웡으로 끝남 ,2
디어 에반 핸슨,진짜 국내 영화 알바들 지긋지긋하다.. 최고였습니다. 뮤지컬 평소에 많이 보시는 분들이라면 재밌게 보실 듯 ,9
007 노 타임 투 다이,재미있게 보았습니다~^^ 마지막에 다다미는 모지? 마지막은 아쉬웠지만  보는내내 재미있었습니다~~추천 꾹~^^ ,8
디어 에반 핸슨,전반적인 스토리 라인이 약간 아쉬움이 든다. 노래 가사는 마음에 들었다. ,7
장르만 로맨스,나름 재밌게 보았어요고딩아들  귀여움 ,8
서울역,시간이 아깝네요 이런걸 왜 만든거지 ,4
장르만 로맨스,다들 연기너무잘하네요 스토리도 좋고 너무 재미있었어요!! ,10
007 노 타임 투 다이,"되게 재미있게 잘 봤어요, 긴장감도 넘치면서 재밌었던 영화 였습니다. ",8
고양이에게 밥을 주지 마세요,함께 공존하는 세상이 좋습니다인간만이  지구의 주인이 아닙니다 ,10
루시,다시 보아도 엄청난 영화. ,10
고양이에게 밥을 주지 마세요,장애를 딛고 일반인도 감히 할수없는 캣맘으로 자처한 나영씨 고양이를 사랑하는마음에 뭉클해집니다 무조건 길양이들을 혐오하는 사람들의 이기적인 욕심과 더불어 살아가는 모습을 보이는영화로 왜 길양이들과 함께가야 하는지를 보여주는 영화입니다 ,10
싱크홀,김지훈 감독님 그냥 영화 안했으면 좋겠어요 ,1
루시,10번넘게봐도 재밌다 ,10
싱크홀,"허술해요...시트콤수준... 아니 화면 구성이 자꾸 끊어져서 진짜 짜증날정도예요. 실내 세트장에서 보이는 야경은 딱 봐도 빌라와는 너무 다른 곳이고, 차승원 옥상 장면에선 기계로 내리는 티가 너무 나고, 심지어 흙더미 속에서 튀어나오는 별거 아닌 장면까지도 뚝뚝 끊어지는 게 정말 어이가 없습니다.. 그리고 조명....와 진짜 ㅋㅋㅋㅋ조명....ㅋㅋㅋ ",1
이터널스,블록버스터는 상업영화 전문감독이.... ,5
너에게 가는 길,내인생 최고의 퀴어영화 ,10
장르만 로맨스,엄청  재미있었네요ㆍ 배우들의  연기ㆍ스토리   다 척척   잘  맞아  보는내내  푹  빠져 봅니다  배우중에  아들역  하신  배우   너무  웃겨서ㆍㆍㆍ근데  마냥  웃기지 만은 않습니다ㆍ   그안에  다양한  사랑애기도   있구요~   꼭  보세요~ ,10
듄,"스페이스 오페라의 부활을 알리는 영화, 대존잼 ",10
남극일기,난 굉장히 재밌게봤는데 5점대 평점 이해가 안간다 ,8
남극일기,난 굉장히 재밌게봤는데 5점대 평점 이해가 안간다 ,8
베놈 2: 렛 데어 비 카니지,초등생이 만든영화... ,4
기적,잔잔하니 감동적이고 재밌네요ㅎㅎ ,10
12번째 솔저,'레버넌트'는 혼자 찍을 수 있는 것이 아니다. ,8
